title_y,cluster_id
Event Horizon,1
Dragonfly,1
The Black Dahlia,1
Flyboys,1
The Last Castle,1
Supernova,2
Winter's Tale,1
The Mortal Instruments: City of Bones,1
Meet Dave,1
Dark Water,0
Edtv,1
Inkheart,1
The Spirit,1
Mortdecai,1
In the Name of the King: A Dungeon Siege Tale,0
Beyond Borders,0
The Monkey King 2,2
The Great Raid,1
Deadpool,2
Holy Man,0
American Sniper,2
Goosebumps,1
Just Like Heaven,1
The Flintstones in Viva Rock Vegas,1
Rambo III,1
Leatherheads,1
The Ridiculous 6,1
Did You Hear About the Morgans?,1
The Internship,1
Resident Evil: Afterlife,1
Red Tails,1
The Devil's Advocate,1
That's My Boy,1
DragonHeart,2
After the Sunset,1
Ghost Rider: Spirit of Vengeance,1
Captain Corelli's Mandolin,1
The Pacifier,1
Walking Tall,1
Forrest Gump,2
Alvin and the Chipmunks,2
Meet the Parents,1
Pocahontas,2
Superman,2
The Nutty Professor,1
Hitch,1
George of the Jungle,1
American Wedding,1
Captain Phillips,1
Date Night,1
Casper,2
The Equalizer,1
Maid in Manhattan,1
Crimson Tide,1
The Pursuit of Happyness,1
Flightplan,1
Disclosure,1
City of Angels,1
Kill Bill: Vol. 1,2
Bowfinger,1
Kill Bill: Vol. 2,2
Tango & Cash,1
Death Becomes Her,1
Shanghai Noon,1
Executive Decision,1
Mr. Popper's Penguins,1
The Forbidden Kingdom,1
Free Birds,2
Alien³,1
Evita,1
Ronin,1
The Ghost and the Darkness,1
Paddington,2
The Watch,1
The Hunted,1
Instinct,1
Stuck on You,1
Semi-Pro,0
The Pirates! In an Adventure with Scientists!,2
Changeling,1
Chain Reaction,1
The Fan,1
The Phantom of the Opera,1
Elizabeth: The Golden Age,1
Æon Flux,1
Gods and Generals,3
Turbulence,1
Imagine That,1
Muppets Most Wanted,2
Thunderbirds,1
Burlesque,1
A Very Long Engagement,0
Lolita,3
D-Tox,1
Blade II,1
Seven Pounds,1
Bullet to the Head,1
The Godfather: Part III,1
Elizabethtown,1
"You, Me and Dupree",1
Superman II,1
Gigli,0
All the King's Men,1
Shaft,1
Anastasia,2
Moulin Rouge!,1
Domestic Disturbance,1
Black Mass,1
Flags of Our Fathers,1
Law Abiding Citizen,1
Grindhouse,1
Beloved,4
Lucky You,0
Catch Me If You Can,2
Zero Dark Thirty,1
The Break-Up,1
Mamma Mia!,2
Valentine's Day,1
The Dukes of Hazzard,1
The Thin Red Line,1
The Change-Up,1
Man on the Moon,1
Casino,1
From Paris with Love,1
Bulletproof Monk,1
"Me, Myself & Irene",1
Barnyard,2
Deck the Halls,1
The Twilight Saga: New Moon,2
Shrek,2
The Adjustment Bureau,1
Robin Hood: Prince of Thieves,2
Jerry Maguire,1
Ted,2
As Good as It Gets,1
Patch Adams,1
Anchorman 2: The Legend Continues,1
Mr. Deeds,1
Super 8,1
Erin Brockovich,1
How to Lose a Guy in 10 Days,1
22 Jump Street,1
Interview with the Vampire,1
Yes Man,1
Central Intelligence,1
Stepmom,0
Daddy's Home,1
Into the Woods,1
Inside Man,1
Payback,1
Congo,1
We Bought a Zoo,1
Knowing,1
Failure to Launch,1
The Ring Two,1
"Crazy, Stupid, Love.",1
Garfield,1
Christmas with the Kranks,1
Moneyball,1
Outbreak,1
Non-Stop,1
Race to Witch Mountain,1
V for Vendetta,2
Shanghai Knights,1
Curious George,2
Herbie Fully Loaded,1
Don't Say a Word,1
Hansel & Gretel: Witch Hunters,2
Unfaithful,1
I Am Number Four,1
Syriana,1
13 Hours: The Secret Soldiers of Benghazi,1
The Book of Life,2
Firewall,1
Absolute Power,1
G.I. Jane,1
The Game,1
Silent Hill,1
The Replacements,4
American Reunion,1
The Negotiator,1
Into the Storm,1
Beverly Hills Cop III,1
Gremlins 2: The New Batch,2
The Judge,1
The Peacemaker,1
Resident Evil: Apocalypse,1
Bridget Jones: The Edge of Reason,1
Out of Time,1
On Deadly Ground,1
The Adventures of Sharkboy and Lavagirl,1
The Beach,1
Raising Helen,1
Ninja Assassin,1
For Love of the Game,1
Striptease,1
Marmaduke,2
Hereafter,1
Murder by Numbers,1
Assassins,1
Hannibal Rising,1
The Story of Us,1
The Host,1
Basic,1
